state,2000,2006,2007,2008,2009,fips
Alabama,6.9,7.7,8,7.7,7.7,US01
Alaska,8.6,9.5,9.9,9.7,9,US02
Arizona,8.4,9.2,9.2,9.2,9.3,US04
Arkansas,5.7,6.2,6.5,6.3,6.1,US05
California,9.5,10.4,10.5,10.8,10.7,US06
Colorado,11.1,12.4,12.5,12.7,12.7,US08
Connecticut,13.3,14.4,15.4,15.2,15.5,US09
Delaware,9.4,10.5,10.4,10.8,11.4,US10
District of Columbia,21,25.4,26,26.7,28,US11
Florida,8.1,8.9,8.9,9,9,US12
Georgia,8.3,9.2,9.5,9.7,9.9,US13
Hawaii,8.4,9.8,9.9,9.9,9.9,US15
Idaho,6.8,7.1,7.6,7.4,7.5,US16
Illinois,9.5,10.8,11,11.2,11.7,US17
Indiana,7.2,8,7.9,8.1,8.1,US18
Iowa,6.5,7.4,7.5,7.3,7.4,US19
Kansas,8.7,9.8,9.8,10.1,10.2,US20
Kentucky,6.9,8.2,8,7.9,8.5,US21
Louisiana,6.5,6.8,6.6,6.5,6.9,US22
Maine,7.9,8.9,9.2,8.9,9.6,US23
Maryland,13.4,15.7,15.7,15.4,16,US24
Massachusetts,13.7,15.6,16,16.4,16.4,US25
Michigan,8.1,9.2,9.5,9.4,9.4,US26
Minnesota,8.3,9.6,10,10,10.3,US27
Mississippi,5.8,6.1,6.4,6.8,7.1,US28
Missouri,7.6,8.7,8.9,9.1,9.5,US29
Montana,7.2,8.4,8.6,8.4,8.3,US30
Nebraska,7.3,8.4,8.8,8.6,8.8,US31
Nevada,6.1,7.2,7.5,7,7.6,US32
New Hampshire,10,11.2,11.5,12,11.2,US33
New Jersey,11,12.4,12.7,12.8,12.9,US34
New Mexico,9.8,10.9,10.2,10.7,10.4,US35
New York,11.8,13.3,13.5,13.8,14,US36
North Carolina,7.2,8.3,8.6,8.6,8.8,US37
North Dakota,5.5,6.5,6.4,6.6,6.7,US38
Ohio,7.4,8.3,8.8,8.7,8.8,US39
Oklahoma,6.8,7.2,7.6,7.2,7.4,US40
Oregon,8.7,10,10.3,10.1,10.4,US41
Pennsylvania,8.4,9.6,9.9,10,10.2,US42
Rhode Island,9.7,11.3,11.8,11.3,11.7,US44
South Carolina,6.9,7.9,8.2,8.5,8.4,US45
South Dakota,6,7.2,7,7.3,7.3,US46
Tennessee,6.8,7.5,7.6,8,7.9,US47
Texas,7.6,8,8.2,8.3,8.5,US48
Utah,8.3,9.4,9.1,9.4,9.1,US49
Vermont,11.1,12.8,12.9,12.2,13.3,US50
Virginia,11.6,13.2,13.7,13.8,14.1,US51
Washington,9.3,10.7,10.8,10.9,11.1,US53
West Virginia,5.9,6.6,6.6,6.7,6.7,US54
Wisconsin,7.2,8.4,8.5,8.6,8.4,US55
Wyoming,7,7.4,7.7,7.9,7.9,US56
