name,value,fips
United States,75.2,US
Alabama,66.9,AL
Alaska,86.6,AK
Arizona,78.7,AZ
Arkansas,66.3,AR
California,76.2,CA
Colorado,84.4,CO
Connecticut,79.2,CT
Delaware,77.5,DE
District of Columbia,73.1,DC
Florida,74.4,FL
Georgia,70.9,GA
Hawaii,80.1,HI
Idaho,79.7,ID
Illinois,76.2,IL
Indiana,75.6,IN
Iowa,80.1,IA
Kansas,81.3,KS
Kentucky,64.6,KY
Louisiana,68.3,LA
Maine,78.8,ME
Maryland,78.4,MD
Massachusetts,80,MA
Michigan,76.8,MI
Minnesota,82.4,MN
Mississippi,64.3,MS
Missouri,73.9,MO
Montana,81,MT
Nebraska,81.8,NE
Nevada,78.8,NV
New Hampshire,82.2,NH
New Jersey,76.7,NJ
New Mexico,75.1,NM
New York,74.8,NY
North Carolina,70,NC
North Dakota,76.7,ND
Ohio,75.7,OH
Oklahoma,74.6,OK
Oregon,81.5,OR
Pennsylvania,74.7,PA
Rhode Island,72,RI
South Carolina,68.3,SC
South Dakota,77.1,SD
Tennessee,67.1,TN
Texas,72.1,TX
Utah,85.1,UT
Vermont,80.8,VT
Virginia,75.2,VA
Washington,83.8,WA
West Virginia,66,WV
Wisconsin,78.6,WI
Wyoming,83,WY
